lat,lon,elevation,slope,aspect,01-07-2015,02-07-2015,03-07-2015,04-07-2015,05-07-2015,06-07-2015,07-07-2015,08-07-2015,09-07-2015,10-07-2015,11-07-2015,12-07-2015,13-07-2015,14-07-2015,15-07-2015,16-07-2015,17-07-2015,18-07-2015,19-07-2015,20-07-2015,21-07-2015,22-07-2015,23-07-2015,24-07-2015,25-07-2015,26-07-2015,27-07-2015,28-07-2015,29-07-2015,30-07-2015
25.5,92.73,682.0,4.752552032,105.5209656,0.0,0.0,0.0,13.0,20.0,53.8,0.0,2.6,0.0,3.0,0.0,5.0,0.0,0.0,21.0,17.5,11.9,17.9,49.0,48.3,16.2,4.9,1.5,0.4,31.1,12.1,15.7,4.7,15.4,7.1
25.57,91.88,1521.0,0.728650928,208.9991302,0.0,7.2,0.0,14.9,5.7,3.1,3.7,0.0,4.2,0.8,0.0,2.2,0.8,0.4,0.4,2.2,0.7,2.6,8.3,14.8,4.6,1.4,0.4,0.6,0.6,0.4,0.1,0.0,0.0,5.0
25.62,93.67,366.0,0.475854754,227.9595184,0.0,0.0,0.0,0.0,0.0,18.0,24.0,0.0,1.0,0.5,25.0,2.0,0.0,0.0,2.0,1.8,0.5,6.9,2.1,0.6,0.3,0.1,44.3,17.2,6.0,6.1,4.3,2.8,3.5,1.0
25.63,94.17,1203.0,15.52780724,47.11017609,24.6,8.8,11.4,17.8,4.2,0.0,6.4,0.0,3.4,4.8,14.6,4.8,0.0,0.0,3.8,3.2,15.2,4.6,14.2,4.3,3.7,7.9,14.0,6.1,1.8,5.8,5.8,31.4,9.4,5.1
25.7,91.97,908.0,1.457437515,330.9745483,13.7,1.7,2.3,1.6,0.6,2.2,10.2,0.0,0.0,0.0,0.0,0.6,0.0,1.1,1.2,0.4,2.7,11.4,3.4,1.0,5.5,1.6,1.2,2.7,2.9,1.7,0.5,0.2,0.9,4.9
25.72,94.03,1125.0,13.46727276,357.0446472,0.0,9.2,6.4,3.6,0.0,1.6,38.6,0.0,1.2,2.0,1.6,18.0,0.0,4.2,9.8,4.9,3.1,4.0,5.4,9.3,6.0,17.4,9.5,12.9,9.6,6.6,7.1,4.2,2.8,0.8
25.75,93.18,141.0,0.952217698,312.0093689,0.0,0.0,0.0,0.0,0.0,12.0,0.0,33.2,1.0,0.0,1.0,19.8,0.0,0.0,0.0,6.0,2.7,0.8,1.1,0.3,0.1,0.0,0.0,1.3,0.4,97.6,31.7,18.0,5.4,1.6
25.8,93.58,207.0,4.176338196,237.7799072,2.2,2.8,0.0,51.6,0.0,32.8,4.2,0.0,0.0,12.8,27.2,16.4,0.0,0.0,0.0,8.0,10.5,6.5,14.2,13.3,16.4,15.8,4.7,1.4,0.4,0.1,0.8,0.2,0.1,0.0
25.83,92.83,97.0,4.240686893,270.0,0.0,0.0,0.0,0.0,3.0,3.8,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.1,0.0,1.4,0.4,2.2,5.8,2.6,0.8,2.0,0.6,0.2,0.1,0.0,0.0
25.87,93.43,175.0,3.414013386,304.01297,4.0,0.0,0.0,11.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.9,91.88,561.0,9.18572998,142.2842102,16.8,26.2,4.0,4.6,0.0,0.0,10.6,6.0,6.8,4.6,0.0,9.0,0.0,11.2,8.8,6.0,1.8,0.5,5.9,1.8,8.4,7.5,4.7,5.7,7.8,15.6,18.0,13.1,15.6,6.8
25.9,93.75,143.0,3.247697115,299.3456726,0.0,0.8,0.0,1.4,0.0,40.2,5.0,0.0,32.4,14.6,6.5,28.3,0.0,0.0,0.0,7.3,2.2,5.8,1.7,0.5,0.2,2.6,0.8,0.9,6.9,6.5,11.3,3.4,15.7,12.8
25.92,93.75,141.0,2.148596287,278.525177,0.0,0.0,0.0,0.0,0.0,4.2,3.0,0.0,0.0,0.2,6.2,7.8,0.0,0.0,0.0,0.0,4.1,1.2,0.4,0.1,0.9,0.3,3.4,1.0,0.3,0.1,0.0,0.0,24.8,7.4
25.95,90.22,34.0,0.476587951,311.9610596,0.0,0.0,0.0,0.2,0.0,0.0,0.0,18.4,5.6,0.0,12.8,0.2,0.0,7.4,9.4,28.7,8.6,2.6,0.8,2.5,0.8,0.2,1.6,1.5,0.4,0.1,24.5,7.4,2.2,0.7
25.97,92.6,71.0,0.708878219,90.0,0.0,0.0,6.2,0.0,2.1,0.0,0.0,4.2,2.3,0.0,0.0,5.2,3.2,5.3,8.2,2.5,0.8,0.2,0.1,3.4,1.0,0.3,0.1,0.0,3.7,1.1,0.3,3.0,3.5,1.0
26.02,89.98,31.0,0.729302406,330.9086609,0.0,0.0,0.0,23.6,0.0,0.0,0.0,0.0,7.2,1.8,4.7,0.0,0.0,1.2,48.2,14.5,4.4,1.3,6.8,13.2,4.0,1.2,0.4,0.1,0.0,1.3,0.4,4.4,1.3,0.4
26.02,93.78,139.0,0.77747184,114.1953888,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,45.0,8.0,0.0,7.5,2.2,0.7,0.2,0.1,0.0,0.0,0.0,10.9,3.3,1.0,0.3,0.1,0.0,0.0,0.0
